cycle,range_bin,doppler_bin,output_hex
1195505000,18,28,ff86ffac
1195515000,18,29,ffb7008e
1195525000,18,30,010fffa4
1195535000,18,31,ff6eff71
1200605000,19,0,fec1fda5
1200615000,19,1,012a015f
1200625000,19,2,fea2feb0
1200635000,19,3,0209016b
1200645000,19,4,fef9ff33
1200655000,19,5,ffa6000b
1200665000,19,6,ffcfffff
1200675000,19,7,015e00e1
1200685000,19,8,ff68fe67
1200695000,19,9,fec6007c
1200705000,19,10,01500042
1200715000,19,11,ff95ffe1
1200725000,19,12,fee8fdd7
1200735000,19,13,018102a8
1200745000,19,14,ff9fffb6
1200755000,19,15,ff190056
1200765000,19,16,003ffecf
1200775000,19,17,00b40119
1200785000,19,18,feb0007c
1200795000,19,19,0109febf
1200805000,19,20,fedd002d
1200815000,19,21,00f60163
1200825000,19,22,0051ff7d
1200835000,19,23,0110fe7d
1200845000,19,24,fe6401f1
1200855000,19,25,0180fe64
1200865000,19,26,fe2e016a
1200875000,19,27,0155ff15
1200885000,19,28,fe660025
1200895000,19,29,012f00e2
1200905000,19,30,0021fdbe
1200915000,19,31,006d02ec
1205985000,20,0,00a9fe50
1205995000,20,1,ff3f01f2
1206005000,20,2,ff28fe73
1206015000,20,3,01ce0169
1206025000,20,4,ff5efe68
1206035000,20,5,ffe50163
1206045000,20,6,0031ffd1
1206055000,20,7,00f3ff41
1206065000,20,8,ffe500fa
1206075000,20,9,fe5dff0a
1206085000,20,10,02250028
1206095000,20,11,ff5800ce
1206105000,20,12,fe5efdcd
1206115000,20,13,004f01ae
1206125000,20,14,01affe59
1206135000,20,15,fdd5028f
1206145000,20,16,02c7fd00
1206155000,20,17,fccd02a4
1206165000,20,18,01dcfe01
1206175000,20,19,fefc016b
1206185000,20,20,00b2ff04
1206195000,20,21,ff7d025b
1206205000,20,22,0019fe89
1206215000,20,23,ff83ffed
1206225000,20,24,019b0026
1206235000,20,25,fe8ffed0
1206245000,20,26,009f0154
1206255000,20,27,ff6affea
1206265000,20,28,01eaff5f
1206275000,20,29,fe0f00c4
1206285000,20,30,00d70035
1206295000,20,31,ff910037
1211365000,21,0,0143fdff
1211375000,21,1,ff56008b
1211385000,21,2,ff47007a
1211395000,21,3,00faffe0
1211405000,21,4,ff1aff44
1211415000,21,5,00ba01d1
1211425000,21,6,fe9afeaa
1211435000,21,7,01d10024
1211445000,21,8,fff50039
1211455000,21,9,fe9fff65
1211465000,21,10,00efffb6
1211475000,21,11,004501b5
1211485000,21,12,ffe0fd6d
1211495000,21,13,fed8024a
1211505000,21,14,01b1fe94
1211515000,21,15,ff990188
1211525000,21,16,fffbfd75
1211535000,21,17,fe6c02bb
1211545000,21,18,00ebfd6a
1211555000,21,19,ffb40182
1211565000,21,20,005eff32
1211575000,21,21,ff7600f7
1211585000,21,22,00a6fff2
1211595000,21,23,ff7dffd4
1211605000,21,24,00b50063
1211615000,21,25,ff27ff21
1211625000,21,26,015f0176
1211635000,21,27,fed9ffd1
1211645000,21,28,ffb0ff0d
1211655000,21,29,00d0006a
1211665000,21,30,000fff10
1211675000,21,31,ff7d0200
1216745000,22,0,0213fe4c
1216755000,22,1,fe3901d0
1216765000,22,2,00b1fe40
1216775000,22,3,ff98007b
1216785000,22,4,01c3ffcc
1216795000,22,5,fdaa0034
1216805000,22,6,0070000f
1216815000,22,7,011000fa
1216825000,22,8,ffb1fe61
1216835000,22,9,feec007c
1216845000,22,10,0153006c
1216855000,22,11,fe3f004d
1216865000,22,12,002fffc0
1216875000,22,13,0015fee7
1216885000,22,14,00fb0156
1216895000,22,15,ffe400c0
1216905000,22,16,ff63fd70
1216915000,22,17,00ad0210
1216925000,22,18,ffd7fff6
1216935000,22,19,0072007d
1216945000,22,20,fecdfea8
1216955000,22,21,00c2017a
1216965000,22,22,ffbcfe9d
1216975000,22,23,00860072
1216985000,22,24,ff71ff73
1216995000,22,25,00560154
1217005000,22,26,0051fe22
1217015000,22,27,ff170193
1217025000,22,28,01a9ff04
1217035000,22,29,fe07013b
1217045000,22,30,027dfff2
1217055000,22,31,fda6fffc
1222125000,23,0,006e011e
1222135000,23,1,fe7b0069
1222145000,23,2,01b7fefa
1222155000,23,3,ff9d00d9
1222165000,23,4,006cffe1
1222175000,23,5,fe400095
1222185000,23,6,019bffc9
1222195000,23,7,002100ce
1222205000,23,8,ff7dfdb3
1222215000,23,9,002301b3
1222225000,23,10,006fff15
1222235000,23,11,ff46004d
1222245000,23,12,ff9bff3e
1222255000,23,13,017b00c1
1222265000,23,14,ffb0ffe5
1222275000,23,15,ff530036
1222285000,23,16,0024ff24
1222295000,23,17,feeb00cf
1222305000,23,18,01e5ff56
1222315000,23,19,fe81014b
1222325000,23,20,0072fe77
1222335000,23,21,ffde01cf
1222345000,23,22,000dfda9
1222355000,23,23,fffd021a
1222365000,23,24,0105fe13
1222375000,23,25,feff0235
1222385000,23,26,0015fe43
1222395000,23,27,ff74012b
1222405000,23,28,017bfeb2
1222415000,23,29,fe3f00cb
1222425000,23,30,00e00251
1222435000,23,31,fff7fc96
1227505000,24,0,00a3fff3
1227515000,24,1,ffb200ee
1227525000,24,2,0027fe63
1227535000,24,3,00a501e0
1227545000,24,4,fef2fe8d
1227555000,24,5,007e00dd
1227565000,24,6,ff89ff27
1227575000,24,7,016b01a5
1227585000,24,8,fe78fd0d
1227595000,24,9,ff3202e9
1227605000,24,10,0210fd5f
1227615000,24,11,fe160125
1227625000,24,12,018bffc4
1227635000,24,13,fed2014c
1227645000,24,14,ffeafe77
1227655000,24,15,00ad0110
1227665000,24,16,01c3fedf
1227675000,24,17,fc720160
1227685000,24,18,01b3fe7b
1227695000,24,19,ff7701ea
1227705000,24,20,000cfeb5
1227715000,24,21,ff30ff55
1227725000,24,22,012501c9
1227735000,24,23,0081fedf
1227745000,24,24,feda00cd
1227755000,24,25,004aff65
1227765000,24,26,00ca0193
1227775000,24,27,ff7eff05
